FP,target_win,jockey,horse_id,jockey_te,horse_id_te
9.0,0,K.Fujioka,2021103125,0.0,0.0
10.0,0,G.Maruyama,2021107369,0.0,0.0
1.0,1,Y.Kawada,2022104896,0.8,1.0
2.0,0,K.Matsuyama,2022104734,0.1,0.0
3.0,0,R.Sakai,2022105431,0.1111111111111111,0.0
4.0,0,C.Lemaire,2022104942,0.26666666666666666,0.0
5.0,0,M.Iwata,2022101562,0.0,0.0
6.0,0,H.Kitamura,2022102148,0.2,0.0
7.0,0,C.Demuro,2022105027,0.16666666666666666,0.0
2.0,0,A.Nishimura,2022102887,0.0,0.0
3.0,0,H.Tanabe,2022101765,0.125,0.0
4.0,0,K.Matsuyama,2022104885,0.1,0.0
5.0,0,T.Danno,2022104748,0.16666666666666666,0.0
6.0,0,M.Sakai,2022101906,0.0,0.0
7.0,0,K.Nishizuka,2022100403,0.0,0.0
8.0,0,K.Sameshima,2022110077,0.0,0.0
9.0,0,Y.Shibata,2022101557,0.0,0.0
10.0,0,R.Takasugi,2022104900,0.5,0.0
11.0,0,M.Iwata,2022106637,0.0,0.0
12.0,0,H.Matsumoto,2022101202,0.0,0.0
1.0,1,R.Sakai,2021107058,0.1111111111111111,1.0
2.0,0,Y.Nagaoka,2021101598,0.3333333333333333,0.3333333333333333
3.0,0,A.Nishimura,2021110033,0.0,0.0
4.0,0,Y.Kitamura,2021105175,0.0,0.0
6.0,0,N.Kawaharada,2021109114,0.0,0.0
7.0,0,Y.Take,2021100653,0.2,0.0
8.0,0,F.Matsuwaka,2021106395,0.125,0.0
10.0,0,K.Kawamata,2021105018,0.0,0.0
1.0,1,K.Ogino,2021101106,0.25,1.0
2.0,0,Y.Take,2021105160,0.2,0.0
3.0,0,T.Tsunoda,2021106594,0.0,0.0
4.0,0,N.Yokoyama,2021100350,0.0,0.0
5.0,0,S.Akiyama,2021105868,0.0,0.0
6.0,0,K.Matsuyama,2021104074,0.1,0.0
,0,A.Lemaitre,2021104840,0.5,0.0
1.0,1,A.Lemaitre,2021110031,0.5,1.0
2.0,0,R.Sakai,2021105202,0.1111111111111111,0.0
3.0,0,M.Iwata,2021107098,0.0,0.0
4.0,0,Y.Furukawa,2021106548,0.0,0.0
5.0,0,M.Demuro,2021104911,0.3333333333333333,0.0
6.0,0,Y.Take,2021105160,0.2,0.0
7.0,0,F.Matsuwaka,2021102510,0.125,0.0
8.0,0,R.Wada,2021102561,0.0,0.0
9.0,0,M.Okabe,2021101386,0.0,0.0
1.0,1,S.Hamanaka,2021102888,0.25,1.0
2.0,0,T.Tsunoda,2021106594,0.0,0.0
3.0,0,A.Tsumura,2021106815,0.125,0.0
4.0,0,K.Sameshima,2021104941,0.0,0.0
5.0,0,Y.Nagaoka,2021101598,0.3333333333333333,0.3333333333333333
6.0,0,T.Danno,2021101102,0.16666666666666666,0.0
7.0,0,A.Nishimura,2021101223,0.0,0.0
