race_id,date,distance,weather,num_horses,horse_id,horse_name,FP,odds_win,time,last3f,weight,PP,sex_age,jockey,pop_win,horse_weight,venue,surface_type,track_condition,url_jp,target_win,sex,age,weather_Cloudy,weather_LightRain,weather_Rain,weather_Snow,weather_Sunny,weather_nan,sex_2,sex_3,sex_nan
202405021107,2024-05-25,1400.0,Sunny,15,2021104050,Nishino Ojo,15.0,293.1,1:24.3,36.3,55,1,3F,Y.Ishikawa,13.0,446(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405040606,2024-10-20,1400.0,Sunny,8,2022105317,Meant to Be,1.0,5.5,1:24.2,33.1,55,7,2F,M.Matsuoka,3.0,438(0),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,1,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022105429,Chigiri,2.0,5.3,1:24.5,33.2,55,6,2F,T.Yokoyama,2.0,456(+8),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022100737,Seiun Big Bang,3.0,1.3,1:25.1,33.6,56,3,2C,K.Miura,1.0,434(+2),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022100336,Friend Beach,4.0,36.2,1:25.2,33.7,55,1,2F,Y.Yoshida,5.0,414(+2),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022101983,Miraieno Bouquet,5.0,8.1,1:25.4,34.0,55,4,2F,D.Shibata,4.0,446(+16),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022103329,Feliz Navidad,6.0,227.6,1:26.1,34.4,55,5,2F,K.Maruta,7.0,452(-6),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022100286,Futaiten Wheel,7.0,85.8,1:26.1,34.3,52,8,2F,T.Ishida,6.0,422(+8),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022103041,Camice,8.0,307.8,1:26.4,34.7,55,2,2F,T.Nishimura,8.0,394(-4),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021105956,London Arms,2.0,59.6,1:33.5,34.3,55,5,3F,K.Yokoyama,9.0,438(+4),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021106195,Win Dione,3.0,12.4,1:33.6,35.1,55,3,3F,R.Kingscote,6.0,456(0),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021105529,Lux Noah,4.0,11.6,1:33.6,34.7,55,2,3F,A.Tsumura,5.0,454(-12),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021105801,Mi Anhelo,5.0,2.4,1:33.6,34.2,55,8,3F,C.Lemaire,1.0,478(0),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021103559,Omega Wink,6.0,6.9,1:33.7,34.3,55,11,3F,R.Piechulek,4.0,474(+10),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021106308,Kaito Gut,7.0,38.2,1:33.7,34.6,55,10,3F,D.Shibata,7.0,462(-4),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021101289,Dino Sunrise,8.0,82.3,1:34.0,35.4,55,1,3F,R.King,10.0,450(+2),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021100189,Nishino Koigokoro,9.0,59.6,1:34.2,34.2,55,9,3F,Y.Nonaka,8.0,424(0),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021100102,Coconut Cute,11.0,662.7,1:34.6,34.9,55,7,3F,K.Maruta,12.0,448(+2),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
